ID,Name,City,State
1458,St. Ann,Waynesburg,PA
1459,St. Joseph's Church,Galliano,LA
1461,Blessed Sacrament,Ft. Mitchell,KY
1463,Church of the Beloved Disciple,Grove City,PA
1466,St. Francis University Parish,Tuscaloosa,AL
1469,St. Columba Catholic Church,Dothan,AL
1472,St. Aloysius,Cleveland,OH
1477,St Xavier Church,Cincinnati,OH
1482,Immaculate Heart of Mary Church,Mercer,PA
1485,Saint Ambrose Catholic Parish,Brunswick,OH
1487,St. Henry,St. Henry,OH
1490,St. Paul Roman-Catholic Church,Norwalk,OH
1494,Church of the Assumption of the Blessed Virgin Mary,Broadview Heights,OH
1499,Assumption Parish,Geneva,OH
1501,St. Thomas the Apostle Catholic Church,Lenoir City,TN
1509,St. Mary's Nativity Church,Raceland,LA
1512,Immaculate Heart of Mary Parish,Lake Charles,LA
1514,St. William Church,Williamstown,KY
1517,Immaculate Conception Church,Clarksburg,WV
1521,St. John the Baptist,Cincinnati,OH
1522,Toledo St. Patrick's,Toledo,OH
1523,All Saints Catholic Community,New Riegel,OH
1525,Holy Cross - Immaculata,Cincinnati,OH
1526,St. Therese Catholic Church,Mooresville,NC
1527,St. Peter Catholic Church,Charlotte,NC
1529,Saint Ann Catholic Church,Nashville,TN
1532,St. Mary Magdalene,Willowick,OH
1535,St. Faustina Parish,Slippery Rock,PA
1538,Church of the Resurrection,New Albany,OH
1539,1011 Mount Pleasant Road,Greensburg,PA
1540,St. John the Evangelist Catholic Church,Thibodaux,LA
1542,Ascension of Our Lord,Donaldsonville,LA
1543,Holy Family Catholic Church,Latrobe,PA
1546,Blessed Sacrament Catholic Community,Graham,NC
1548,St. Therese Parish,Garfield Heights,OH
1554,St. Mark,Erie,PA
1555,Blessed Sacrament Church,Erie,PA
1556,"Catholic Church of St. Stephen, Martyr",South Chesapeake,VA
1557,St Francis Xavier Church,Moundsville,WV
1558,St. Gerard Church,Baton Rouge,LA
1564,St. Margaret Catholic Church,Lake Charles,LA
1565,St. Thomas More,Bowling Green,OH
1568,St. Joseph Catholic Church,Prattville,AL
1570,St. Ann Catholic Church,Hamilton,OH
1571,Sacred Heart Church,Fairfield,OH
1572,St. Monica,Garfield Heights,OH
1575,St. Joseph,Vinton,LA
1577,Holy Spirit Parish,Montgomery,AL
1579,St. Paul Parish,Florence,KY
1584,St. Martin's Church,Valley City,OH
1585,Saint Joseph Catholic Church,Chauvin,LA
1587,St. Ambrose Catholic Church,Annandale,VA
1589,Cathedral Basilica of St. Peter in Chains,Cincinnati,OH
1591,Saint Ann Catholic Church,Bartlett,TN
1596,Ascension of Our Lord Parish,LaPlace,LA
1598,Our Lady of the Assumption,Coral,PA
1599,Sacred Heart Parish,Bowmansville,NY
1601,St. Charles Borromeo Catholic Church,Destrehan,LA
1602,St. Mary Parish,Mobile,AL
1605,St Thomas More Catholic Church,Eunice,LA
1606,Sacred Heart of Jesus Catholic Church,Broussard,LA
1608,Sacred Heart of Jesus,Wadsworth,OH
1610,St. John,Perrysburg,OH
1612,Our Lady of the Rosary,Crozet,VA
1614,Little Flower Parish,Canton,OH
1615,Saint Mary Roman Catholic Church,Morgantown,WV
1618,Sacred Heart Catholic Church,Huntington,WV
1621,Northeast 10 Family of Parishes,Tipp City,OH
1622,Immaculate Conception Catholic Church,Clarksville,TN
1623,Ascension Catholic Church,Hurricane,WV
1624,St. Mary Church,Dayto,OH
1626,St John the Evangelist Catholic Church,Waynesville,NC
1627,Christ the King,Lake Charles,LA
1628,St Paul Catholic Church,Athens,AL
1629,Saint Leo Magnus Catholic Church,Ridgway,PA
1630,Church of the Holy Trinity Zoar,Bolivar,OH
1632,Our Lady Queen of Heaven Church,Lake Charles,LA
1635,Sacred Heart,Manassas,VA
1636,Divine Mercy Parish,Massillon,OH
1638,St. Mary's,Garner,NC
1639,St. Michael Catholic Church,Independence,OH
1644,Parishes of Lower Burrell New Kensington,New Kensington,PA
1646,Holy Cross Church,Morgan City,LA
1648,The Catholic Churches of Pleasants & Ritchie Counties,St. Marys,WV
1649,St. Thomas Catholic Church,Montevallo,AL
1651,St. Wendelin Parish,Fostoria,OH
1652,Holy Family,West Newton,PA
1654,St. John the Baptist Roman Catholic Community,Monroe,MI
1655,St. Clare Parish,Cincinnati,OH
1656,St. Patrick,Cleveland,OH
1658,Saint Michael the Archangel,Emlenton,PA
1659,St. Michael's Catholic Church,Florence,AL
1661,St. James Church,New Alexandria,PA
1664,Saint Anthony of Padua,New Orleans,LA
1665,St. Patrick Church,New Orleans,LA
1666,St. Ignatius of Antioch,Antioch,TN
1671,St. Christine Parish,Youngstown,OH
1672,Church of the Incarnation,Charlottesville,VA
1675,St. Peter Parish,Conneautville,PA
1676,St. Kateri,Poquoson,VA
1677,Catholic Church of the Holy Comforter,Charlottesville,VA
1678,St. Gregory,Houma,LA
1680,Church of the Nativity,Thompson's Station,TN
1681,Christ the King Catholic Church,Nashville,TN
1682,St. Alphonsus Catholic Church,Maurice,LA
1686,Saint Mary Catholic Church,Groveport,OH
1687,Gesu Parish,University Heights,OH
1688,Saint James Catholic Church,Falls Church,VA
1689,St. Joseph’s Shrine of St. Katharine Drexel,Columbia,VA
1691,St. Raphael's Church,Carnegie,PA
1693,St. Francis of Assisi,Cordova,TN
1696,St. Sebastian Catholic Church,Belle Vernon,PA
1697,St. Jude,Glen Dale,WV
1698,St. Francis of Assisi,Columbus,OH
1700,St. Francis Xavier,Mckean,PA
1701,Christ Our Savior Parish,Pittsburgh,PA
1702,St. Paul's Church,Weirton,WV
1703,St. Joseph University Parish,Buffalo,NY
1704,St. Ladislas Parish,Westlake,OH
1705,Notre Dame Church,Hermitage,PA
1710,Saint Stanislaus Catholic Church,Erie,PA
1712,Saint Jude,Erie,PA
1714,St. Noel Parish,Willoughby Hills,OH
1715,St. Leonard Church,Heath,OH
1716,Saint Luke Catholic Church,McLean,VA
1720,St. Mary / St. Benedict Parish,Stark,OH
1721,Good Shepherd Catholic Church,Alexandria,VA
1723,St. Peter Parish,Huron,OH
1727,Our Lady of Victory National Shrine & Basilica,Lackawanna,NY
